"B19"	"B20"	"B24"	"B25"	"B27"	"B28"	"X301_11"	"X301_12"	"X301_13"	"X301_15"	"X301_21"	"X301_22"	"X310_3"	"X301_5"	"X301_6"	"X301_8"	"X301_9"	"B32"	"B36"	"B37"	"B4"	"B5"	"B7"	"B9"	"X301_23"	"B26"	"B31"
"Arthrobacter_Arthrobacter sp."	0	0	0.0186559429542722	0	0	0	0.00450599297065097	0.00342137676200903	0.000702676494768574	0.00405391709739536	0	0	0	0.00155743832544231	0	0.000562896138157228	0.00207542079156549	0	0	0	0	0.0101988781234064	0	0	0.000665062240958257	0	0.00254515529689237
"Arthrobacter_Arthrobacter sp. 248"	0	0	0	0.000133227994399095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. 31.32"	0	0	0.00207288255047469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000848385098964122
"Arthrobacter_Arthrobacter sp. 3285"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0.000187632046052409	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. 37ZZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934462995265387	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. A2-54"	0	0	0	0	0	0	0.00150199765688366	0	0	0	0	0	0	0.00155743832544231	0.00142352807197358	0.000562896138157228	0.00207542079156549	0	0	0	0	0	0	0.000314244054502489	4.43374827305505e-05	0	0
"Arthrobacter_Arthrobacter sp. A2-83"	0	0	0	0	0	0	0.00150199765688366	0	0.00105401474215286	0	0	0	0	0	0.00142352807197358	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Arthrobacter_Arthrobacter sp. B015-3"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. B3097"	0	0	0.0207288255047469	0.000133227994399095	0.0124195831987878	0.0284981476204047	0.00300399531376731	0.0153961954290406	0.00421605896861144	0.0214857606161954	0	0.00290701899736915	0.00303745178045299	0.0099676052828308	0.00332156550127169	0.00150105636841928	0.0124525247493929	0	0	0	0	0.0101988781234064	0.000981951727253088	0	0.000221687413652752	3.5930420023017e-05	0.00593869569274885
"Arthrobacter_Arthrobacter sp. BA-5-17"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. BLH-11E1"	0	0	0	0	0.00248391663975757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. BLH-5B3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. Bra51"	0	0	0	0	0.00248391663975757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. Bt 25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. C0803"	0	0	0	0	0	0	0	0	0	0.00202695854869768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. C3505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Arthrobacter_Arthrobacter sp. cryopeg_2"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Arthrobacter_Arthrobacter sp. Cza30"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. E01"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. ERGS1:01"	0	0	0	0	0	0.0142490738102023	0.00300399531376731	0.00342137676200903	0.000351338247384287	0.00486470051687443	0	0	0	0	0.00237254678662263	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. ES2-32"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000354699861844404	0	0
"Arthrobacter_Arthrobacter sp. Es30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187632046052409	0	0	0	0	0.107066381156317	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. F7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. GZK-1"	0	0	0	0	0	0	0	0	0.000702676494768574	0.000810783419479072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. HJ4"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. IARI-R-45"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187632046052409	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. IN210"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133012448191651	0	0
"Arthrobacter_Arthrobacter sp. J3.16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0228296287072204	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. K11"	0	0	0	0	0	0	0	0	0	0.00121617512921861	0	0	0	0.000311487665088462	0.000474509357324526	9.38160230262047e-05	0.00207542079156549	0	0	0	0	0	0	0	0.000133012448191651	0	0
"Arthrobacter_Arthrobacter sp. MSI30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. NCCP-1664"	0.023587130861402	0	0	0	0	0	0.00150199765688366	0	0	0.00162156683895814	0	0	0	0.000622975330176925	0.000474509357324526	0.000281448069078614	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Arthrobacter_Arthrobacter sp. NEAU-SA1"	0	0	0	0	0	0	0.00150199765688366	0	0	0.000405391709739536	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. QXT-31"	0	0	0.00207288255047469	0	0.00745174991927271	0.0569962952408093	0.00150199765688366	0.00342137676200903	0.00281070597907429	0.000810783419479072	0	0	0	0.00155743832544231	0.00284705614394716	0.000187632046052409	0.00622626237469647	0	0	0	0	0	0	0	0.000266024896383303	0.000862330080552409	0.00678708079171297
"Arthrobacter_Arthrobacter sp. R-36371"	0	0	0.00207288255047469	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. R-36708"	0	0	0	0	0	0	0	0	0.00245936773169001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. R-38429"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. RIT-PI-e"	0.0141522785168412	0.000895180349000979	0.0891339496704117	0	0	0.042747221430607	0.0165219742257202	0.0136855070480361	0.0203776183482886	0.0539170973953583	0	0.00726754749342287	0.00303745178045299	0.020869673560927	0.0132862620050867	0.00431553705920542	0.0228296287072204	0	0.0679347826086956	0	0.214132762312634	0	0	0.00125697621800996	0.00336964868752184	0.000215582520138102	0.00593869569274885
"Arthrobacter_Arthrobacter sp. ROS"	0	0	0	0	0	0	0	0	0	0.00202695854869768	0	0	0.00101248392681766	0	0.00142352807197358	0.000187632046052409	0	0	0	0	0	0	0	0	0.000443374827305505	0	0
"Arthrobacter_Arthrobacter sp. S3SP505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. SLS1-P13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Arthrobacter_Arthrobacter sp. THG-GM14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622975330176925	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Arthrobacter_Arthrobacter sp. Tibet-IX22"	0	0	0.0476762986609179	0.00026645598879819	0	0	0	0	0	0.00121617512921861	0	0	0	0.00155743832544231	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Arthrobacter_Arthrobacter sp. TJ18b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0.000949018714649053	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Arthrobacter_Arthrobacter sp. TY7nrD"	0	0	0.00207288255047469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. V-34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Arthrobacter_Arthrobacter sp. VTT E-052905"	0	0	0.00207288255047469	0	0	0	0.00150199765688366	0.0205282605720542	0.00597275020553287	0.000810783419479072	0	0	0.00101248392681766	0.00560677797159232	0.0123372432904377	0.000750528184209638	0.0249050494987859	0	0	0	0	0.071392146863845	0	0	0.000133012448191651	0	0.00254515529689237
"Arthrobacter_Arthrobacter sp. VTT E-052907"	0	0	0	0	0.00248391663975757	0	0	0	0	0	0	0	0	0.000622975330176925	0	0.000469080115131024	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Arthrobacter sp. VTT E-052916"	0	0	0	0	0	0	0	0	0.00105401474215286	0.000405391709739536	0	0	0	0.000311487665088462	0	0	0.00207542079156549	0	0	0	0	0.071392146863845	0	0.00314244054502489	0	7.18608400460341e-05	0
"Arthrobacter_Arthrobacter sp. YIM 94406"	0	0	0	0.000666139971995476	0	0	0	0.00171068838100452	0.000351338247384287	0.000405391709739536	0	0	0	0	0	0.000656712161183433	0	0	0	0	0	0	0.000981951727253088	0	0	0	0.000848385098964122
"Arthrobacter_Arthrobacter stackebrandtii"	0	0	0	0	0	0	0.00150199765688366	0	0.000351338247384287	0	0	0	0	0.000934462995265387	0.00142352807197358	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_bacterium"	0	0	0	0	0	0	0.00300399531376731	0	0	0.00810783419479072	0	0	0.00506241963408831	0.000934462995265387	0.00379607485859621	0.000750528184209638	0.00415084158313098	0	0	0	0	0.0101988781234064	0	0	4.43374827305505e-05	0	0
"Arthrobacter_bacterium 59(2010)"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_bacterium EBAD27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124595066035385	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Micrococcus luteus"	0	0	0	0	0	0	0	0.00171068838100452	0	0	0	0	0	0	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_Micrococcus sp. SWM_Isolation_2"	0	0	0	0.000133227994399095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_naphthalene-utilizing bacterium IS4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00415084158313098	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Arthrobacter_naphthalene-utilizing bacterium IS5"	0	0	0	0	0	0	0	0	0.000351338247384287	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_uncultured actinobacterium"	0	0.000298393449666993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrobacter_uncultured Arthrobacter sp."	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Arthrobacter_uncultured bacterium"	0.0141522785168412	0.00119357379866797	0.0994983624227851	0.00026645598879819	0.0149034998385454	0.128241664291821	0.0300399531376731	0.0290817024770768	0.0242423390695158	0.0324313367791629	0	0.0392447564644835	0.00303745178045299	0.0190007475703962	0.0194548836503056	0.00318974478289096	0.0581117821638337	0	0	0	0	0.071392146863845	0.00490975863626544	0.00188546432701493	0.00128578699918596	0.000395234620253187	0.0381773294533855
"Arthrospira PCC-7345_(Arthrospira PCC-7345)"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0.000375264092104819	0	0	0	0	0	0	0	0	0	0	0
"Arthrospira PCC-7345_Arthrospira platensis NTR09"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Arthrospira PCC-7345_Arthrospira platensis Sp-12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281448069078614	0	0	0	0	0	0	0	0	0	0	0
"Arthrospira PCC-7345_Neolyngbya granulosa ALCB 114393"	0	0	0	0	0	0	0	0	0	0	0	0.00436052849605372	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"Arthrospira PCC-7345_uncultured Lyngbya sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Asaccharospora_Asaccharospora irregularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124595066035385	0.00474509357324526	0.000187632046052409	0	0	0	0	0	0	0	0	0	0	0
"Asanoa_Asanoa ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Asanoa_metagenome"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0.00237254678662263	0	0	0	0	0	0	0	0	0	0	0	0
"Asanoa_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622975330176925	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ascidiaceihabitans_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"ASF356_Clostridium sp. ASF356"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142352807197358	0	0	0	0	0	0	0	0	0	0	0	0
"ASF356_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0.00806665907451695	0.000187632046052409	0	0	0	0	0	0	0	0.000314244054502489	8.86749654611009e-05	0	0
"Aspergillus alliaceus_(Aspergillus alliaceus)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"Aspergillus leporis_(Aspergillus leporis)"	0	0	0	0	0	0	0.00150199765688366	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aspergillus nidulans FGSC A4_(Aspergillus nidulans FGSC A4)"	0	0	0	0	0	0	0.00150199765688366	0	0	0	0	0	0	0	0.000474509357324526	0	0.00207542079156549	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Aspergillus niger_(Aspergillus niger)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aspergillus nomius_(Aspergillus nomius)"	0	0	0.00207288255047469	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00415084158313098	0	0	0	0	0	0	0	0	0	0
"Aspergillus terreus_(Aspergillus terreus)"	0	0	0	0	0	0	0.00150199765688366	0.00171068838100452	0	0	0	0	0	0	0	0	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"Asteroleplasma_(Asteroleplasma)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0.000823180770497201	0	0	0	0	0	0	0	0.00283850318181835	0
"Asteroleplasma_Asteroleplasma anaerobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Asteroleplasma_gut metagenome"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179652100115085	0
"Asteroleplasma_metagenome"	0	0	0	0	0	0	0	0	0	0.00162156683895814	0	0	0	0.00124595066035385	0.00142352807197358	0	0	0	0	0	0.107066381156317	0	0	0	0	7.18608400460341e-05	0
"Asteroleplasma_uncultured Anaeroplasmataceae bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115245307869608	0	0	0	0	0	0	0.000177349930922202	0.143757610512091	0
"Asteroleplasma_uncultured Asteroleplasma sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18608400460341e-05	0
"Asteroleplasma_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00658544616397761	0	0	0.107066381156317	0	0	0	0	0.0722201442462642	0
"Asticcacaulis_(Asticcacaulis)"	0	0	0	0	0	0	0.00750998828441828	0	0.000351338247384287	0.00121617512921861	0	0	0	0.00124595066035385	0	0.00121960829934066	0	0	0	0.000344714662438167	0	0	0	0	0.000133012448191651	3.5930420023017e-05	0
"Asticcacaulis_Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Asticcacaulis_Asticcacaulis biprosthecum C19"	0	0	0	0	0	0	0	0	0	0.000810783419479072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis excentricus CB 48"	0	0	0	0	0	0	0.00300399531376731	0	0.000351338247384287	0	0	0	0	0	0	0.000469080115131024	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis solisilvae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281448069078614	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis sp. AC466"	0	0	0	0	0	0	0	0.00171068838100452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis sp. JH4"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis sp. p51(2011)"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asticcacaulis_Asticcacaulis sp. YBE204"	0	0	0	0	0	0	0.00300399531376731	0	0	0.000810783419479072	0	0	0	0.000934462995265387	0	0.000469080115131024	0	0	0	0.000344714662438167	0	0	0	0	4.43374827305505e-05	7.18608400460341e-05	0
"Asticcacaulis_uncultured bacterium"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Asticcacaulis_uncultured Gram-positive bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Atlantibacter_Atlantibacter subterranea"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atlantibacter_uncultured Yersinia sp."	0	0	0	0.00026645598879819	0	0	0	0.00171068838100452	0	0.000405391709739536	0	0	0	0.00124595066035385	0	0.000375264092104819	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"Atopobium_(Atopobium)"	0	0	0.00829153020189876	0.000133227994399095	0	0	0.0180239718826039	0.00342137676200903	0.00491873546338001	0.0709435492044188	0	0	0.0121498071218119	0.0140169449289808	0.0218274304369282	0.00112579227631446	0.00830168316626196	0	0.101902173913043	0	0	0.0407955124936257	0	0.00345668459952738	0.345655015367372	0.0217738345339483	0.00254515529689237
"Atopobium_Atopobium parvulum DSM 20469"	0	0	0.00414576510094938	0	0	0	0.00150199765688366	0	0.000702676494768574	0.0162156683895814	0	0.00145350949868457	0.00607490356090597	0.00872165462247695	0.0118627339331132	0	0.00207542079156549	0	0.0339673913043478	0	0	0.0101988781234064	0	0.000314244054502489	0.215613178518667	0.0108509868469511	0
"Atopobium_Atopobium sp. oral taxon 199 str. F0494"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0	0	0.000281448069078614	0	0	0	0	0	0	0	0.000628488109004978	0.0115720829926737	0.00768910988492564	0
"Atopobium_Atopobium vaginae DSM 15829"	0	0	0	0.000133227994399095	0	0	0.0165219742257202	0.00342137676200903	0.000351338247384287	0.0616195398804094	0	0.00145350949868457	0	0.000311487665088462	0.00142352807197358	0	0	0	0	0	0	0	0	0	0.000177349930922202	0.000790469240506375	0.00254515529689237
"Atopobium_Lancefieldella rimae"	0	0	0	0	0	0	0.00300399531376731	0	0.00175669123692143	0.000810783419479072	0	0	0.00101248392681766	0.00155743832544231	0.000949018714649053	0.000750528184209638	0	0	0	0	0	0	0	0.00314244054502489	0.00984292116618221	0.00980900466628365	0
"Atopobium_Olsenella sp. KHD7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00415084158313098	0	0	0	0	0	0	0	0	0	0
"Atopobium_uncultured Atopobium sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000177349930922202	0	0
"Atopobium_uncultured bacterium"	0	0	0.00414576510094938	0	0	0	0.00450599297065097	0	0	0.00527009222661397	0	0.00145350949868457	0.00911235534135896	0.00436082731123848	0.009015677789166	0.000187632046052409	0.00207542079156549	0	0.0679347826086956	0	0	0.0305966343702193	0	0.000314244054502489	0.147067430217236	0.0012575647008056	0
"Atopobium_uncultured organism"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	3.5930420023017e-05	0
"Atopococcus_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622975330176925	0	0	0	0	0	0	0	0	0	0	0.00514314799674385	3.5930420023017e-05	0
"Atopostipes_(Atopostipes)"	0	0	0	0	0	0	0	0.00171068838100452	0	0.00121617512921861	0	0	0	0.000622975330176925	0.00142352807197358	0.000469080115131024	0	0	0	0	0	0	0	0	0	0	0.000848385098964122
"Atopostipes_Atopostipes sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atopostipes_Atopostipes suicloacalis"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atopostipes_Firmicutes oral clone BX005"	0	0	0	0	0	0	0	0	0.000351338247384287	0.000810783419479072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"Atopostipes_uncultured bacterium"	0	0	0	0.00026645598879819	0	0	0.00300399531376731	0.00342137676200903	0.00105401474215286	0.0056754839363535	0	0	0	0.00654124096685771	0.00806665907451695	0.0019701364835503	0.00415084158313098	0	0	0.00137885864975267	0	0	0	0	0.000798074689149909	3.5930420023017e-05	0.000848385098964122
"Atopostipes_uncultured Carnobacteriaceae bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Atopostipes_uncultured organism"	0	0	0	0	0	0	0	0	0	0.00202695854869768	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Aurantimicrobium_(Aurantimicrobium)"	0	0	0.00207288255047469	0	0	0	0.00150199765688366	0	0.000702676494768574	0.00121617512921861	0	0	0	0.00373785198106155	0	0.000656712161183433	0.00207542079156549	0	0	0	0	0	0	0	0.000266024896383303	0	0
"Aurantimicrobium_Aurantimicrobium minutum"	0	0	0.00207288255047469	0	0	0	0.00150199765688366	0.00513206514301355	0.00421605896861144	0.000810783419479072	0	0	0	0.00404933964615001	0.000474509357324526	0.000844344207235842	0	0	0	0	0	0	0	0	0.000177349930922202	0	0
"Aurantimicrobium_uncultured actinobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281448069078614	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"Aurantimicrobium_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934462995265387	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"Aurantimicrobium_uncultured bacterium FukuN101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218041365561924	0	0	0	0	0	0	0	0	0	0	0.000133012448191651	0	0
"Aurantimonas_Aurantimonas endophytica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"Aurantimonas_bacterium L200B.634"	0	0	0	0	0	0	0.00300399531376731	0	0.00140535298953715	0.000405391709739536	0	0.00145350949868457	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aurantisolimonas_(Aurantisolimonas)"	0	0.000298393449666993	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0.000474509357324526	0.000187632046052409	0	0	0	0.000344714662438167	0	0	0	0	0	0	0.000848385098964122
"Aurantisolimonas_Chitinophagaceae bacterium BLB-2F4-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"Aurantisolimonas_metagenome"	0	0	0	0	0	0.0142490738102023	0.00600799062753462	0	0	0	0	0	0	0.000311487665088462	0.000474509357324526	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0.00509031059378473
"Aurantisolimonas_uncultured bacterium"	0	0.000298393449666993	0	0	0	0	0.00600799062753462	0	0	0	0	0	0	0.00155743832544231	0.000949018714649053	0.000187632046052409	0	0	0	0.00137885864975267	0	0	0	0	0	0	0.00169677019792824
"Aurantisolimonas_uncultured Bacteroidetes bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"Aurantisolimonas_uncultured Terrimonas sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187632046052409	0	0	0	0	0	0	0	0	0	0	0
"Auraticoccus_(Auraticoccus)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"Auraticoccus_Auraticoccus monumenti"	0	0	0.0145101778533228	0	0	0	0.00300399531376731	0	0.000351338247384287	0.0170264518090605	0	0	0.00101248392681766	0.00218041365561924	0.00379607485859621	0.00103197625328825	0.0103771039578274	0	0	0	0	0	0	0	0.000753737206419358	0	0
"Aureimonas sp._(Aureimonas sp.)"	0	0	0	0	0	0	0	0	0	0	0	0.00145350949868457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
